Life Stage,Budget,Mainstream,Premium,Total,,,,,,,,,,,
Young Singles/Couples,"9,242","20,854","6,281","36,377",,,,,,,,,,,
Retirees,"15,201","21,466","13,096","49,763",,,,,,,,,,,
Older Families,"23,160","14,244","11,190","48,594",,,,,,,,,,,
Young Families,"19,122","12,907","11,563","43,592",,,,,,,,,,,
Mid-age Singles/Couples,"5,020","11,874","8,216","25,110",,,,,,,,,,,
New Families,"3,005","2,325","1,589","6,919",,,,,,,,,,,
Older Singles/Couples,"18,407","18,318","17,754","54,479",,,,,,,,,,,
TOTAL,"93,157","101,988","69,689","264,834",,,,,,,,,,,
,,,,,,,,,,,,,,,
Life Stage,Budget,Mainstream,Premium,,,,,,,,,,,,
Young Singles/Couples,3.5%,7.9%,2.4%,,,,,,,,,,,,
Retirees,5.7%,8.1%,4.9%,,,,,,,,,,,,
Older Families,8.7%,5.4%,4.2%,,,,,,,,,,,,Quantium Data Analytics Job Simulation on Forage - February 2026
Young Families,7.2%,4.9%,4.4%,,,,,,,,,,,,
Midage Singles/Couples,1.9%,4.5%,3.1%,,,,,,,,,,,,Completed a job simulation focused on Data Analytics and Commercial Insights for the data science team.
New Families,1.1%,0.9%,0.6%,,,,,,,,,,,,"Developed expertise in data preparation and customer analytics, utilizing transaction datasets to extract valuable insights and deliver data-driven commercial recommendations."
Older Singles/Couples,7.0%,6.9%,6.7%,,,,,,,,,,,,"Extended analytical capabilities to identify benchmark stores for conducting uplift testing on trial store layouts, enabling evidence-based decision-making."
,,,,,,,,,,,,,,,"Leveraged acquired data analytics and insights from previous tasks to create comprehensive reports for the Category Manager, facilitating informed strategic decisions and enhancing commercial applications."
